MS Zoning,Lot Area,Lot Shape,Neighborhood,Bldg Type,House Style,Mas Vnr Type,Exter Qual,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Garage Finish,Garage Cars,Garage Area,Paved Drive,SalePrice,has_alley,has_fence,has_fireplace,Total Bsmt Bath,total_baths,on_cds,Overall Goodness
517,RL,12633,IR1,Timber,1Fam,1Story,BrkFace,4,5,4,1824.0,4,1,1824,1824,1,4,3,3.0,932.0,1,392000,0,0,1,0.0,2,0,50
518,RM,6876,Reg,IDOTRR,1Fam,2Story,None,2,3,1,720.0,1,1,1146,1930,1,2,1,1.0,316.0,1,149000,0,1,0,1.0,2,0,30
519,FV,3951,IR1,Somerst,TwnhsE,2Story,None,4,4,2,970.0,4,1,1469,2393,1,4,3,2.0,846.0,1,345000,1,0,1,1.0,3,0,50
520,RM,9856,Reg,OldTown,1Fam,2Story,None,3,2,1,716.0,4,1,1007,2014,1,2,1,2.0,624.0,1,169000,1,0,0,0.0,2,0,40
521,RL,17808,Reg,Edwards,1Fam,1Story,None,2,3,1,484.0,2,0,1242,1242,1,2,1,1.0,336.0,0,109900,0,0,0,0.0,1,0,20
522,RL,9627,Reg,Mitchel,1Fam,2Story,BrkFace,2,4,3,996.0,4,1,996,2000,1,2,3,3.0,650.0,1,188000,0,0,1,0.0,3,0,35
523,RM,6000,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,780.0,4,1,825,1412,1,2,1,1.0,280.0,1,132500,0,0,1,0.0,1,0,36
524,RL,9757,Reg,CollgCr,1Fam,1Story,None,2,3,1,990.0,4,1,990,990,1,2,2,1.0,440.0,1,143000,0,0,0,1.0,1,0,35
525,RL,9280,Reg,Edwards,1Fam,1Story,None,2,2,1,1342.0,4,1,1342,1342,1,2,1,1.0,256.0,1,125000,0,0,0,1.0,1,0,30
526,RL,14780,IR1,NridgHt,1Fam,1Story,BrkFace,4,5,4,1868.0,4,1,1868,1868,1,4,3,3.0,1085.0,1,415000,0,0,1,1.0,2,0,45
527,RM,7740,Reg,OldTown,1Fam,2Story,None,2,2,1,622.0,3,1,741,1363,1,2,1,2.0,528.0,1,125500,0,0,0,0.0,1,0,28
528,RL,9600,Reg,NAmes,1Fam,1Story,BrkCmn,2,3,1,1240.0,3,1,1632,1632,1,2,2,1.0,338.0,1,139000,0,1,1,1.0,2,0,36
529,RL,13478,IR1,NridgHt,1Fam,2Story,Stone,4,5,4,1722.0,4,1,1728,2296,1,4,2,3.0,842.0,1,451950,0,0,1,1.0,3,0,50
530,RL,10926,Reg,Edwards,Duplex,1Story,BrkFace,2,3,1,1678.0,2,1,1678,1678,2,2,0,0.0,0.0,1,119900,0,0,0,0.0,2,0,25
531,RL,6853,IR1,Timber,1Fam,1Story,BrkFace,3,5,1,1267.0,4,1,1296,1296,1,3,3,2.0,471.0,1,220000,0,0,0,1.0,2,0,40
532,RL,10667,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,1587.0,2,1,1587,1587,1,2,1,2.0,525.0,1,167300,0,0,1,0.0,2,0,36
533,RL,8212,Reg,Edwards,1Fam,1.5Fin,None,2,3,1,720.0,4,1,854,1298,1,2,1,1.0,256.0,1,122000,1,0,1,0.0,1,0,30
534,RM,9100,Reg,Sawyer,Duplex,1Story,BrkFace,2,3,1,1728.0,2,1,1728,1728,2,2,1,2.0,504.0,1,125000,0,0,0,1.0,2,0,25
535,RM,6000,Reg,OldTown,1Fam,1Story,None,2,3,1,928.0,3,1,928,928,1,2,3,1.0,288.0,1,112500,0,0,0,0.0,1,0,30
536,RL,9316,Reg,CollgCr,1Fam,2Story,None,3,4,4,879.0,4,1,879,1795,1,3,2,2.0,578.0,1,191000,0,0,0,0.0,3,0,35
537,RL,9464,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,1080.0,3,1,1080,1080,1,2,1,1.0,288.0,1,136000,0,0,0,0.0,1,0,42
538,RL,10400,Reg,CollgCr,1Fam,2Story,None,2,4,3,866.0,4,1,866,1779,1,3,2,2.0,546.0,1,197900,0,0,0,0.0,3,0,35
539,RM,5310,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,485.0,3,1,1001,1635,1,3,1,1.0,255.0,1,117000,0,0,0,0.0,1,0,48
540,RL,7406,Reg,CollgCr,1Fam,1Story,Stone,3,4,3,1199.0,4,1,1220,1220,1,3,2,2.0,632.0,1,194000,0,0,0,1.0,2,0,35
541,FV,4538,IR1,Somerst,TwnhsE,1Story,BrkFace,3,5,3,1310.0,4,1,1310,1310,1,3,2,2.0,545.0,1,285000,0,0,1,1.0,2,0,45
542,RL,10106,Reg,Edwards,2fmCon,1.5Fin,None,2,3,1,644.0,3,1,808,1355,2,2,0,0.0,0.0,1,127500,0,0,0,1.0,2,0,35
543,RL,13346,IR1,NoRidge,1Fam,2Story,None,3,4,1,1095.0,4,1,1166,2295,1,3,2,2.0,590.0,1,268000,0,0,1,1.0,3,1,35
544,RM,9639,Reg,OldTown,1Fam,2Story,None,2,3,1,1075.0,4,1,1156,1798,1,2,1,2.0,342.0,0,137000,0,1,0,0.0,3,0,32
545,RL,15387,IR1,NWAmes,1Fam,1Story,None,2,3,1,1620.0,4,1,1620,1620,1,3,1,2.0,578.0,1,215000,0,0,1,0.0,2,1,49
546,RL,10050,Reg,NAmes,1Fam,1Story,None,2,3,1,1216.0,2,1,1216,1216,1,2,2,1.0,336.0,1,129500,0,0,0,1.0,1,0,25
547,RM,6240,Reg,BrkSide,1Fam,1.5Fin,None,2,4,1,896.0,3,1,896,1344,1,2,1,1.0,240.0,1,115000,0,0,0,0.0,1,0,20
548,RL,7506,Reg,OldTown,1Fam,1.5Fin,None,2,3,1,747.0,2,1,747,1159,1,2,1,1.0,288.0,0,114000,0,0,0,0.0,1,0,40
549,RH,8900,Reg,SawyerW,1Fam,1Story,None,2,3,1,1056.0,2,1,1056,1056,1,2,1,1.0,384.0,1,107000,0,1,0,1.0,1,0,16
550,RL,8480,Reg,NAmes,1Fam,1.5Fin,None,2,3,1,832.0,2,1,832,1216,1,2,1,1.0,336.0,1,118500,0,0,0,0.0,1,0,25
551,RM,6000,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,862.0,2,1,950,1158,1,2,2,1.0,208.0,1,120000,0,0,1,0.0,1,0,42
552,RL,8847,Reg,Somerst,1Fam,1Story,BrkFace,3,4,3,1538.0,4,1,1538,1538,1,3,2,2.0,484.0,1,260000,0,0,0,1.0,2,0,40
553,RL,8050,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1143.0,2,1,1143,1143,1,2,2,1.0,308.0,1,136000,0,1,0,1.0,1,0,25
554,RL,8294,Reg,NAmes,1Fam,1Story,None,2,3,1,858.0,2,1,872,872,1,2,1,4.0,480.0,1,123000,0,1,0,0.0,1,0,20
555,RM,7920,IR1,IDOTRR,1Fam,1.5Fin,None,2,3,1,319.0,2,1,1035,1406,1,1,0,0.0,0.0,0,89500,1,1,0,0.0,1,0,42
556,RL,18494,IR1,Gilbert,1Fam,1Story,None,3,4,1,1324.0,4,1,1324,1324,1,3,3,2.0,430.0,1,199500,0,0,0,0.0,2,0,30
557,RL,7162,IR1,Sawyer,1Fam,1Story,BrkCmn,2,3,1,876.0,2,1,904,904,1,2,1,1.0,408.0,1,109900,0,1,0,0.0,1,0,35
558,RL,10918,Reg,Crawfor,1Fam,2Story,None,3,4,1,1276.0,4,1,1276,2080,1,3,1,1.0,282.0,1,234000,0,1,1,0.0,2,0,63
559,RM,4435,Reg,CollgCr,TwnhsE,1Story,BrkFace,3,4,2,848.0,4,1,848,848,1,3,2,2.0,420.0,1,155900,0,0,1,1.0,1,0,30
560,RL,11250,Reg,ClearCr,1Fam,1.5Fin,None,2,3,3,1104.0,4,1,1104,1788,1,2,1,1.0,304.0,1,161500,0,0,1,1.0,1,0,20
561,RL,14375,IR1,Timber,1Fam,SLvl,BrkFace,2,3,1,819.0,3,1,1344,1344,1,3,2,2.0,525.0,1,137500,0,0,1,1.0,1,1,36
562,RM,9045,Reg,OldTown,2fmCon,2Story,None,2,3,2,840.0,1,0,1128,2256,2,1,0,0.0,0.0,0,76500,0,0,0,0.0,2,0,15
563,RL,10029,IR1,ClearCr,1Fam,2Story,BrkFace,3,4,1,1151.0,2,1,1164,2060,1,2,1,2.0,521.0,1,211000,0,0,1,1.0,3,0,30
564,RH,4060,Reg,NAmes,TwnhsE,1Story,None,3,4,1,1405.0,4,1,1337,1337,1,3,3,2.0,511.0,1,181000,0,0,0,1.0,2,0,30
565,RL,9020,Reg,NAmes,1Fam,SLvl,BrkFace,2,3,4,1127.0,2,1,1165,1165,1,2,2,2.0,490.0,1,174900,0,1,0,1.0,2,0,42
566,RL,11777,IR1,Sawyer,1Fam,SLvl,BrkFace,2,3,3,1164.0,4,1,1320,1320,1,2,2,2.0,564.0,1,164500,0,0,1,1.0,1,0,30
567,RL,10171,IR1,NridgHt,1Fam,1Story,BrkFace,3,4,1,1517.0,4,1,1535,1535,1,3,2,2.0,532.0,1,214000,0,0,0,0.0,2,0,35
568,RL,10400,Reg,NWAmes,1Fam,2Story,BrkFace,2,4,2,738.0,2,1,1277,2044,1,2,1,2.0,489.0,1,185000,0,0,1,0.0,3,0,42
569,RM,6240,Reg,BrkSide,1Fam,1.5Fin,None,2,3,1,704.0,4,1,624,1136,1,2,1,1.0,336.0,1,123000,0,0,0,1.0,1,0,28
570,RL,12150,IR1,Mitchel,1Fam,SFoyer,None,2,4,3,1001.0,2,1,1299,1299,1,3,2,2.0,486.0,1,183500,0,1,1,1.0,2,1,36
571,FV,2645,Reg,Somerst,Twnhs,2Story,BrkFace,3,4,1,776.0,4,1,764,1441,1,3,1,2.0,492.0,1,174000,1,0,0,0.0,3,0,40
572,RL,22692,IR1,Edwards,1Fam,1Story,None,2,3,1,1073.0,2,1,1630,1630,1,2,1,2.0,649.0,0,130000,0,0,1,0.0,2,0,25
573,RM,9600,Reg,OldTown,1Fam,2Story,None,2,3,1,728.0,4,1,832,1641,1,4,1,2.0,546.0,1,178000,1,0,1,1.0,2,0,49
574,RL,13830,IR1,Gilbert,1Fam,2Story,None,2,4,1,928.0,3,1,928,1629,1,2,3,2.0,482.0,1,189900,0,1,1,0.0,3,0,25
575,RM,4435,Reg,CollgCr,TwnhsE,1Story,BrkFace,3,4,3,848.0,4,1,848,848,1,3,3,2.0,420.0,1,144000,0,0,0,1.0,1,0,30
576,RM,5890,Reg,IDOTRR,1Fam,1Story,None,3,3,3,816.0,4,1,816,816,1,2,1,1.0,432.0,1,120500,0,0,0,0.0,1,0,48
577,RL,10859,Reg,CollgCr,1Fam,1Story,None,2,4,1,1097.0,4,1,1097,1097,1,2,1,2.0,672.0,1,145000,0,0,0,0.0,2,0,25
578,RL,5330,Reg,StoneBr,TwnhsE,1Story,None,3,4,3,1494.0,4,1,1652,1652,1,4,2,2.0,499.0,1,251000,0,0,0,1.0,2,0,40
579,RL,10778,Reg,Sawyer,Duplex,1Story,None,2,3,1,1768.0,2,0,1768,1768,2,2,0,0.0,0.0,1,136500,0,0,0,0.0,2,0,20
580,RL,6845,Reg,Edwards,Duplex,1Story,BrkCmn,2,0,0,0.0,2,0,1152,1152,2,2,0,0.0,0.0,0,82500,0,0,0,0.0,2,0,20
582,RL,10307,IR1,NridgHt,TwnhsE,1Story,Stone,3,4,1,1350.0,4,1,1358,1358,1,3,2,2.0,484.0,1,212500,0,0,1,1.0,2,0,35
583,RM,4500,Reg,Mitchel,Twnhs,1Story,BrkFace,2,5,1,1216.0,4,1,1216,1216,1,2,1,2.0,402.0,1,164000,0,0,0,1.0,2,0,30
584,RM,9060,Reg,IDOTRR,1Fam,1.5Fin,BrkFace,2,3,1,967.0,3,1,967,1638,1,3,1,1.0,384.0,1,139000,0,0,0,0.0,2,0,30
585,FV,2160,Reg,Somerst,Twnhs,2Story,BrkFace,3,4,1,600.0,4,1,624,1252,1,3,1,2.0,462.0,1,160000,1,0,0,1.0,3,0,35
586,RL,7669,Reg,Mitchel,1Fam,SFoyer,None,2,4,3,828.0,2,1,883,883,1,2,1,2.0,698.0,1,149000,0,1,1,1.0,1,0,30
587,RL,9858,Reg,Mitchel,1Fam,1Story,None,2,3,1,864.0,2,1,874,874,1,2,2,1.0,288.0,1,130000,0,1,0,1.0,1,0,30
588,RM,10300,IR1,OldTown,1Fam,2Story,None,2,3,1,576.0,3,1,902,1710,1,2,1,2.0,480.0,1,140000,0,1,0,0.0,2,0,42
589,FV,8125,Reg,Somerst,1Fam,1Story,BrkFace,3,4,1,1836.0,4,1,1836,1836,1,3,3,2.0,517.0,1,264500,0,0,1,0.0,2,0,40
590,RL,14850,IR1,NAmes,1Fam,1Story,None,2,3,1,1092.0,2,1,1092,1092,1,2,3,1.0,299.0,1,141000,0,1,1,1.0,1,0,25
591,FV,4274,IR1,Somerst,TwnhsE,1Story,None,3,4,1,1241.0,4,1,1241,1241,1,3,3,2.0,569.0,1,199900,1,0,0,1.0,2,0,35
592,RL,9650,Reg,NWAmes,1Fam,1Story,BrkFace,2,4,1,1350.0,2,1,1334,1334,1,2,2,2.0,630.0,1,167900,0,0,1,1.0,2,0,30
593,RL,14585,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1144.0,4,1,1429,1429,1,3,1,2.0,572.0,1,181900,0,0,1,1.0,1,1,36
594,FV,9000,Reg,Somerst,1Fam,1Story,Stone,3,4,3,1566.0,4,1,1566,1566,1,3,2,2.0,750.0,1,262500,0,0,0,1.0,2,0,40
595,RL,13774,IR1,NWAmes,1Fam,2Story,BrkFace,2,4,1,908.0,4,1,1316,2288,1,3,2,2.0,520.0,1,230000,0,0,1,0.0,3,0,49
596,FV,5119,IR1,Somerst,TwnhsE,1Story,BrkFace,3,5,3,1698.0,4,1,1709,1709,1,3,3,2.0,506.0,1,328900,0,0,1,1.0,2,1,45
597,RL,9254,IR1,NridgHt,1Fam,1Story,BrkFace,3,4,1,1721.0,4,1,1721,1721,1,3,2,2.0,554.0,1,232698,0,0,0,1.0,2,0,40
598,RL,10324,IR1,CollgCr,1Fam,1Story,BrkFace,3,4,3,1254.0,4,1,1254,1254,1,3,2,3.0,810.0,1,221800,0,0,0,1.0,2,0,40
599,RL,8375,Reg,Sawyer,1Fam,1.5Fin,None,2,3,1,576.0,3,1,864,1350,1,3,1,3.0,627.0,0,152400,0,1,0,1.0,2,0,35
600,RL,9750,Reg,CollgCr,1Fam,1Story,BrkFace,3,4,1,1630.0,4,1,1630,1630,1,3,1,2.0,451.0,1,213000,0,0,1,0.0,2,0,35
601,RL,7632,IR1,SawyerW,1Fam,2Story,BrkFace,3,4,1,784.0,4,1,831,1585,1,3,2,2.0,449.0,1,184900,0,0,0,0.0,3,0,35
602,RL,15750,Reg,Crawfor,2fmCon,1Story,BrkFace,2,3,2,1165.0,2,1,1336,1336,1,2,1,1.0,375.0,1,157000,0,0,1,1.0,1,0,25
603,RL,9240,IR1,Sawyer,1Fam,1Story,None,2,3,1,864.0,3,1,1211,1211,1,2,1,2.0,576.0,1,144000,0,1,1,0.0,1,0,30
604,RL,10400,Reg,NWAmes,1Fam,1Story,BrkFace,2,4,1,1259.0,4,1,1353,1353,1,2,2,2.0,478.0,1,192350,0,0,1,1.0,2,0,30
605,RL,8800,Reg,NAmes,1Fam,1Story,BrkFace,2,3,1,1174.0,4,1,1200,1200,1,2,2,2.0,440.0,1,163500,0,1,1,1.0,2,0,42
606,RL,11839,Reg,SawyerW,1Fam,2Story,BrkFace,2,4,1,1475.0,4,1,1532,2329,1,3,1,2.0,514.0,1,262280,0,0,1,1.0,3,0,35
607,RL,9135,Reg,CollgCr,1Fam,1Story,BrkFace,3,4,3,1536.0,4,1,1536,1536,1,3,2,2.0,532.0,1,214000,0,0,0,1.0,2,0,35
608,RL,14115,IR1,Crawfor,1Fam,1Story,None,2,3,1,1073.0,4,1,1811,1811,1,4,3,2.0,470.0,1,230000,0,0,1,0.0,1,0,42
609,RL,14154,Reg,NridgHt,1Fam,2Story,BrkFace,3,5,1,1063.0,4,1,1071,2172,1,3,2,3.0,947.0,1,280000,0,0,1,0.0,3,0,35
611,RL,7700,Reg,NAmes,1Fam,2Story,BrkFace,2,3,1,756.0,2,1,1051,1839,1,2,1,2.0,442.0,1,155000,0,0,1,0.0,2,0,30
613,RL,12361,IR1,SawyerW,1Fam,2Story,BrkFace,3,4,1,946.0,4,1,964,1802,1,3,2,4.0,1017.0,1,218000,0,0,1,1.0,3,1,42
614,RL,9720,Reg,CollgCr,1Fam,SLvl,BrkFace,2,3,3,995.0,2,1,1009,1009,1,2,1,2.0,576.0,1,160000,0,1,1,0.0,2,0,35
615,FV,8640,Reg,Somerst,1Fam,1Story,None,3,4,1,1338.0,4,1,1338,1338,1,3,2,2.0,598.0,1,208900,0,0,0,0.0,2,0,40
616,RL,47007,IR1,Edwards,1Fam,1Story,None,2,0,0,0.0,2,1,3820,3820,1,4,1,2.0,624.0,1,284700,0,0,1,0.0,4,0,35
617,FV,3180,Reg,Somerst,TwnhsE,2Story,None,3,4,1,689.0,4,1,703,1392,1,3,1,2.0,540.0,1,146000,1,0,0,0.0,2,0,35
618,RL,14963,IR2,Veenker,TwnhsE,1Story,None,3,4,1,1260.0,4,1,1288,1288,1,4,3,2.0,500.0,1,245500,0,0,1,1.0,2,0,40
619,RM,5000,Reg,BrkSide,1Fam,1.5Unf,None,2,3,1,992.0,4,1,1013,1013,1,2,1,1.0,160.0,1,113000,0,0,0,0.0,1,0,42
620,RL,16870,IR1,NridgHt,1Fam,1Story,BrkFace,3,5,4,1782.0,4,1,1782,1782,1,3,3,3.0,932.0,1,296000,0,0,1,1.0,2,0,40
621,RL,14157,IR1,StoneBr,1Fam,1Story,Stone,3,5,4,1922.0,4,1,1922,1922,1,3,3,3.0,676.0,1,377426,0,0,1,1.0,2,0,45
622,RL,12456,Reg,NridgHt,1Fam,1Story,Stone,4,5,4,1700.0,4,1,1718,1718,1,4,3,3.0,786.0,1,337500,0,0,1,1.0,2,0,50
623,RL,14836,IR1,NridgHt,1Fam,1Story,Stone,4,5,4,2492.0,4,1,2492,2492,1,4,3,3.0,949.0,1,552000,0,0,1,1.0,3,0,50
624,RL,6956,Reg,Edwards,1Fam,1.5Fin,None,2,2,2,624.0,4,1,624,936,1,2,1,1.0,265.0,1,97900,0,0,0,0.0,1,0,28
625,FV,7862,IR1,Somerst,1Fam,1Story,None,3,4,1,1218.0,4,1,1218,1218,1,3,3,2.0,676.0,1,208300,0,0,0,0.0,2,0,30
626,RL,11050,Reg,Mitchel,1Fam,2Story,None,2,4,2,910.0,4,1,910,1820,1,3,1,3.0,816.0,1,213000,0,0,1,0.0,3,0,35
627,RL,8924,IR1,CollgCr,1Fam,2Story,None,2,4,3,880.0,4,1,880,1724,1,3,3,2.0,527.0,1,188000,0,0,0,0.0,3,1,35
628,RL,9610,IR1,NAmes,1Fam,1Story,BrkFace,2,3,1,1121.0,4,1,1336,1336,1,2,2,2.0,488.0,1,162000,0,0,1,0.0,2,0,36
629,RM,13710,Reg,IDOTRR,1Fam,1.5Fin,None,2,3,1,910.0,2,1,910,1558,1,2,1,1.0,282.0,1,152000,0,1,0,0.0,2,0,25
630,FV,12552,Reg,Somerst,1Fam,2Story,None,3,4,1,991.0,4,1,991,1947,1,3,2,2.0,678.0,1,254900,0,1,1,0.0,3,0,35
631,RL,14565,IR2,SawyerW,1Fam,2Story,BrkFace,3,4,3,832.0,4,1,832,1657,1,3,2,2.0,483.0,1,189000,0,0,0,0.0,3,1,35
632,RL,18559,IR1,NWAmes,1Fam,1Story,BrkFace,3,4,1,2048.0,2,1,2064,2064,1,3,3,2.0,550.0,1,235000,0,0,1,1.0,2,1,35
633,RL,10880,Reg,Edwards,2fmCon,1Story,None,2,3,1,1164.0,2,0,1164,1164,1,2,1,1.0,240.0,1,125000,0,0,0,1.0,1,0,25
634,RL,2280,Reg,NPkVill,Twnhs,1Story,None,2,4,1,836.0,4,1,836,836,1,2,1,1.0,308.0,1,120000,0,0,0,0.0,1,0,42
636,RL,11841,Reg,Edwards,Duplex,SFoyer,BrkFace,2,4,3,816.0,2,1,816,816,1,2,0,0.0,0.0,1,118500,0,0,0,1.0,1,0,30
637,FV,9187,Reg,Somerst,1Fam,1Story,Stone,4,5,2,1766.0,4,1,1766,1766,1,4,3,3.0,478.0,1,370878,0,0,1,1.0,3,0,45
638,RH,6270,Reg,Crawfor,Duplex,2Story,None,2,3,1,1001.0,2,0,1001,2002,2,2,1,3.0,871.0,1,145000,0,0,0,0.0,2,0,30
639,RL,15660,IR1,Crawfor,1Fam,1.5Fin,BrkFace,3,3,1,798.0,4,1,1137,1954,1,3,1,2.0,431.0,1,311500,0,0,1,1.0,2,0,63
640,RL,3087,Reg,Blmngtn,TwnhsE,1Story,BrkFace,3,4,3,1220.0,4,1,1364,1364,1,3,3,2.0,437.0,1,210250,0,0,1,1.0,2,0,35
641,RL,13450,IR1,CollgCr,1Fam,2Story,None,3,4,1,916.0,4,1,920,1861,1,3,2,2.0,492.0,1,200000,0,0,0,1.0,3,0,35
642,RL,10125,Reg,Mitchel,Duplex,1.5Fin,None,2,0,0,0.0,2,1,1302,1734,2,3,1,2.0,539.0,1,126000,0,0,0,0.0,2,0,25
643,RL,8146,Reg,OldTown,1Fam,2Story,None,3,2,1,405.0,3,1,717,1039,1,2,1,1.0,281.0,0,114000,0,0,0,0.0,1,0,32
644,RM,9600,Reg,OldTown,1Fam,2Story,None,3,2,1,677.0,2,1,833,1510,1,3,1,2.0,720.0,0,87500,0,0,0,0.0,2,0,16
645,RL,12328,IR1,StoneBr,1Fam,2Story,Stone,3,5,2,1149.0,4,1,1164,2541,1,4,3,3.0,729.0,1,349265,0,0,1,1.0,4,0,40
646,RL,10141,IR1,SawyerW,1Fam,1Story,BrkFace,3,4,4,1512.0,4,1,1512,1512,1,3,2,3.0,845.0,1,203000,0,0,0,0.0,2,0,40
647,RL,8529,IR1,SawyerW,1Fam,1Story,None,3,4,1,1454.0,4,1,1434,1434,1,3,2,2.0,527.0,1,189000,0,0,1,0.0,2,0,35
648,FV,8127,IR1,Somerst,1Fam,2Story,None,3,4,1,812.0,4,1,812,1653,1,3,2,2.0,628.0,1,209000,0,0,0,1.0,3,0,35
649,RM,8400,Reg,OldTown,1Fam,2Story,None,2,2,2,917.0,3,1,1090,2007,1,4,1,1.0,357.0,1,160000,0,0,0,0.0,2,0,42
650,RL,10751,IR1,Sawyer,1Fam,1Story,BrkFace,2,2,4,1037.0,2,1,1037,1037,1,2,2,2.0,431.0,1,129000,0,0,0,1.0,1,1,25
651,RL,10010,Reg,Mitchel,1Fam,1Story,None,2,4,3,1389.0,3,1,1389,1389,1,2,2,2.0,418.0,1,170000,0,0,1,1.0,1,0,25
652,RL,4280,Reg,Crawfor,1Fam,1Story,None,2,3,1,440.0,2,0,694,694,1,3,1,1.0,352.0,0,90350,0,1,1,0.0,1,0,30
653,RL,9600,Reg,Edwards,1Fam,1.5Fin,None,2,3,1,572.0,1,0,572,1096,1,2,0,0.0,0.0,0,79000,0,0,0,0.0,1,0,30
654,RL,9800,Reg,CollgCr,1Fam,1Story,None,2,3,1,894.0,2,1,894,894,1,2,1,2.0,552.0,1,149900,0,1,0,1.0,1,0,35
655,RL,7560,Reg,NAmes,1Fam,1Story,None,2,4,1,864.0,2,1,864,864,1,2,1,2.0,576.0,1,123000,0,0,0,1.0,1,0,25
656,RM,9600,Reg,OldTown,1Fam,2Story,None,2,3,1,1095.0,1,0,1095,1774,2,2,1,3.0,779.0,0,87000,1,0,0,1.0,2,0,8
657,RL,9880,Reg,Mitchel,1Fam,SLvl,None,2,3,3,1096.0,2,1,1118,1118,1,2,3,1.0,358.0,1,171000,0,1,1,1.0,1,0,36
658,RL,9600,Reg,NAmes,1Fam,1.5Fin,None,2,3,1,1032.0,2,1,1032,1252,1,2,1,1.0,288.0,1,119000,0,0,0,0.0,1,0,30
659,RL,7931,Reg,NAmes,1Fam,1Story,None,2,3,1,1148.0,2,1,1148,1148,1,2,1,1.0,672.0,1,132500,0,1,0,1.0,1,0,25
660,RM,5100,Reg,OldTown,1Fam,2Story,None,2,3,1,588.0,1,1,833,1666,1,3,1,1.0,228.0,1,161000,1,1,1,0.0,1,0,56
661,RL,9720,IR1,CollgCr,1Fam,2Story,BrkFace,3,4,2,1357.0,4,1,1366,1947,1,3,3,3.0,725.0,1,274000,0,0,1,1.0,3,1,45
662,RL,8521,Reg,Sawyer,1Fam,1Story,None,2,3,1,912.0,2,1,912,912,1,2,1,1.0,336.0,1,125000,0,1,1,0.0,1,0,25
663,RL,8741,Reg,Edwards,Duplex,1Story,None,2,3,1,1195.0,2,0,1195,1195,2,2,0,0.0,0.0,0,98500,0,1,0,0.0,2,0,30
664,RL,12461,Reg,NoRidge,1Fam,1Story,None,3,4,1,1624.0,4,1,1624,1624,1,3,2,3.0,757.0,1,262000,0,1,1,1.0,2,0,40
665,RL,6950,IR1,CollgCr,1Fam,1Story,BrkFace,2,3,1,914.0,2,1,914,914,1,2,1,2.0,444.0,1,134900,0,0,0,1.0,1,0,35
666,RL,16905,Reg,Timber,1Fam,1Story,None,2,3,4,1350.0,3,1,1328,1328,1,2,2,1.0,308.0,0,170000,0,0,1,1.0,2,0,30
667,RL,7155,Reg,Crawfor,1Fam,2Story,None,2,3,1,686.0,2,1,686,1461,1,2,1,1.0,225.0,0,135000,0,1,1,0.0,1,0,48
668,RL,9205,IR1,NoRidge,1Fam,2Story,BrkFace,3,4,1,930.0,4,1,1364,2683,1,3,2,2.0,473.0,1,290000,0,0,1,1.0,3,0,30
669,RL,7697,Reg,Gilbert,1Fam,1Story,BrkFace,3,4,1,1246.0,4,1,1258,1258,1,3,2,2.0,462.0,1,173500,0,0,0,0.0,2,0,42
670,RL,7800,Reg,Edwards,1Fam,2Story,None,2,3,1,896.0,4,1,1112,2008,1,4,1,1.0,230.0,1,225000,0,0,0,1.0,3,0,40
671,RL,14357,IR1,NAmes,1Fam,1Story,None,2,3,1,864.0,2,1,1187,1187,1,2,2,2.0,440.0,1,140500,0,0,1,1.0,1,1,25
672,RL,8775,Reg,CollgCr,1Fam,1Story,None,2,4,1,990.0,3,1,990,990,1,2,1,1.0,299.0,1,126000,0,0,0,0.0,1,0,25
673,FV,2645,Reg,Somerst,Twnhs,2Story,BrkFace,3,4,1,960.0,4,1,962,1586,1,3,1,2.0,480.0,1,170000,1,0,0,1.0,3,0,40
674,RL,13568,IR2,CollgCr,1Fam,1Story,None,2,4,1,990.0,4,1,990,990,1,2,1,2.0,576.0,1,156000,0,0,0,1.0,1,1,25
675,RL,16321,IR1,NAmes,1Fam,1Story,None,2,3,4,1484.0,2,1,1600,1600,1,2,2,1.0,319.0,1,207500,0,0,1,1.0,1,1,30
676,FV,8640,Reg,Somerst,1Fam,2Story,None,3,4,3,896.0,4,1,896,1792,1,3,3,2.0,590.0,1,255000,0,0,0,0.0,3,0,40
677,RM,1596,Reg,MeadowV,Twnhs,SLvl,None,2,4,4,462.0,2,1,526,988,1,2,2,1.0,297.0,1,94900,0,1,1,1.0,1,0,24
678,RL,7315,Reg,NAmes,1Fam,1Story,None,2,3,1,1170.0,2,1,1170,1170,1,2,2,1.0,338.0,1,140000,0,0,1,1.0,1,0,30
679,RM,7614,Reg,OldTown,1Fam,2Story,None,2,3,2,738.0,3,1,714,1376,1,2,1,1.0,216.0,0,96900,1,0,0,0.0,1,0,15
680,RL,11000,IR1,NAmes,1Fam,1Story,BrkFace,2,3,2,1154.0,4,1,1154,1154,1,2,2,2.0,480.0,1,154000,0,1,1,0.0,2,1,30
